Name of official/organization,Twitter handle,Official position,Faction,Political affiliation
Ramin Nourqolipour,@ramin_nqp,MP - Kordkouy (Golestan),List of Hope,Reformist
Hassan Nowrouzi,@HassanNooroozi,MP - Robat Karim (Tehran),Velaayat,Principlist
Seyyed Razi Nouri,,MP - Shoush (Khouzestan),Velaayat,Principlist
Ardeshir Nouriyan,@NourianDr,MP - Shahr-e Kord (Chaharmahaal va bakhtiyari),List of Hope,Reformist
Hossein Niyaz Azari,@HNiazazari,MP - Babol (Mazandaran),List of Hope,Independent
Habibollah Nikzadipanah,,MP - Bam (Kerman),List of Hope,Reformist
Zabihollah Nikfar,@nikfaar_ir,MP - Lahijan (Gilan),Velaayat,Principlist
Abdolreza Hashemzaei,,MP - Tehran (Tehran),List of Hope,Reformist
Homayoun Hashemi,@homayonhashemi,MP - Miyandoab (Azarbayjan-e Gharbi),,Independent
Adl Hashemipour,@adalhashemipour,MP - Kohguliyeh (Kohguliyeh va Boyer Ahmad),,Principlist
Hossein Hashemi Takhtinejad,,MP - Bandar Abbas (Hormozgan),Velaayat,Principlist
Nabi Hezarjaribi,,MP - Gorgan (Golestan),List of Hope,Reformist
Ahmad Hemmati,@ahmadhematii,MP - Semnan (Semnan),List of Hope,Reformist
Mohammad Vahdati,,MP - Bostan Abad (Azarbayjan-e Sharghi),,Independent
Ali Vaghfchi,@dr_ali_vaghfchi,MP - Zanjan (Zanjan),,Principlist
Mohammadali Vakili,@ma_vakili,MP - Tehran (Tehran),List of Hope,Reformist
Gholmareza Kateb,@kateb_ir,MP - Garmsar (Semnan),,Independent
Shadmehr Kazemzadeh,,MP - Dehloran (Ilam),List of Hope,Principlist
Seyyed Hamidreza Kazemi,,MP - Poldokhtar (Lorestan),Velaayat,Principlist
Mohammad Kazemi,,MP - Malaayer (Hamedan),List of Hope,Reformist
Ali Kazemi Babaheydari,,MP - Ardal (Chaharmahal vaBakhtiyari),List of Hope,Reformist
Hassan Kamran Dastjerdi,@Hassan_Kamran_d,MP - Esfahan (Esfahan),,Principlist
Seyyed Taghi Kabiri,@dr_kabirii,MP - Khouy (Azarbayjan-e Gharbi),Velaayat,Principlist
Ali Kord,@alikord_ir,MP - Khash (Sistan va Balouchestan),,Principlist
Kourosh Karampour Haghighi,@k_karampour,MP - Firouzabad (Fars),List of Hope,Reformist
Aliakbar Karimi,@karimi_aliakbar,MP - Araak (Markazi),Velaayat,Principlist
Reza Karimi,@rezakarimi94,MP - Ardebil (Ardebil),List of Hope,Reformist
Hamdollah Karimi,@karimi_bijar,MP - Bijar (Kordestan),,Independent
Javad Karimi Ghoddousi,@Jkarimi_ir,MP - Mashhad (Khorasan Razavi),Velaayat,Principlist
